	Yritys	Kotipaikka	Toimiala	
14.07.2025	TMI Annastiina Kupari	Kalajoki	81210 - Kiinteistöjen siivous	
14.07.2025	JVK Research	Espoo	72193 - Tekniikan tutkimus ja kehittäminen	
14.07.2025	North Star Services Oy	Kittilä	55209 - Lomakylät yms. majoitus	
14.07.2025	Heppahuolto-Johis	Helsinki	01499 - Muu eläinten hoito	
14.07.2025	Brändiklubi Oy	Ylöjärvi	73111 - Mainostoimistot	
14.07.2025	MF Capital Oy	Kaarina	66120 - Arvopaperien ja raaka-ainesopimusten välittäminen	
14.07.2025	HR Pietiläinen	Espoo	78300 - Muut henkilöstön hankintapalvelut	
14.07.2025	Kiinteistö Oy Lappeenrannan Kivenkatu 8	Lappeenranta	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
14.07.2025	Lohduttamo Oy	Porvoo	71129 - Muu tekninen palvelu	
14.07.2025	Mitko Finland Oy	Iitti	93299 - Muualla luokittelematon huvi- ja virkistystoiminta	
14.07.2025	The List App Oy	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
14.07.2025	Hermes Invest Oy	Masku	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
14.07.2025	JTA Lääkäripalvelut	Helsinki	86210 - Terveyskeskus- ja vastaavat yleislääkäripalvelut	
14.07.2025	iidasuominen	Rauma	96021 - Parturit ja kampaamot	
14.07.2025	NordiVisio Oy	Tampere	70220 - Muu liikkeenjohdon konsultointi	
14.07.2025	LYRAE Invest Oy	Espoo	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
14.07.2025	Hirsi- ja Puutyö J.Manninen Oy	Oulu	41200 - Asuin- ja muiden rakennusten rakentaminen	
14.07.2025	Apollo Vuokraus Oy	Helsinki	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
14.07.2025	Kauneushuone Kuiskaus	Lappeenranta	96022 - Kauneudenhoitopalvelut	
14.07.2025	Parturi Odei	Pori	96021 - Parturit ja kampaamot	
14.07.2025	Vanomag AG		42120 - Rautateiden ja metrolinjojen rakentaminen	
14.07.2025	Cloud Factory Oy	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
14.07.2025	Doktar Daniel Karl-Oskar	Maalahti	43320 - Rakennuspuusepän asennustyöt	
14.07.2025	Goat Gym Oy	Lahti	93130 - Kuntokeskukset	
14.07.2025	SL-Venehuolto Oy	Helsinki	33150 - Laivojen ja veneiden korjaus ja huolto	
14.07.2025	ABB Robotics Finland Oy	Helsinki	28990 - Muualla luokittelematon erikoiskoneiden valmistus	
14.07.2025	Q-Katsastus Kotka Oy	Kotka	71201 - Autokatsastus	
14.07.2025	Alma Finnish Holding 2 Oy	Helsinki	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
14.07.2025	Tuoni Instruments	Oulu	32200 - Soitinten valmistus	
14.07.2025	Care By Ida Andersson	Helsinki	96022 - Kauneudenhoitopalvelut	
14.07.2025	Shrestha Romas	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
14.07.2025	Fridfull consulting	Turku	72200 - Yhteiskuntatieteellinen ja humanistinen tutkimus ja kehittäminen	
14.07.2025	Marcos Labrunée	Lohja	90030 - Taiteellinen luominen	
14.07.2025	Damian EK Oy	Helsinki	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
14.07.2025	OY Svensky	Helsinki	46390 - Elintarvikkeiden, juomien ja tupakan yleistukkukauppa	
14.07.2025	Inverest Ab	Ylöjärvi	68100 - Omien kiinteistöjen kauppa	
14.07.2025	J Cut Cothing Oy	Ylöjärvi	14190 - Muiden vaatteiden ja asusteiden valmistus	
14.07.2025	MTH Finance Oy	Turku	71127 - Kone- ja prosessisuunnittelu	
14.07.2025	Blue Refit Oy	Vantaa	30110 - Laivojen ja kelluvien rakenteiden rakentaminen	
14.07.2025	Yllw 0004 Oy	Helsinki	46189 - Muualla luokittelematon erikoistunut agentuuritoiminta	
14.07.2025	Anton Kunnas Oy	Helsinki	74201 - Valokuvaamot ja muu kuvaustoiminta	
14.07.2025	Hyrizeon Oy	Vaasa	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
14.07.2025	Eiroplasts Finland Oy	Ulvila	28250 - Muuhun kuin kotitalouskäyttöön tarkoitettujen jäähdytys- ja tuuletuslaitteiden valmistus	
14.07.2025	Yllw 0003 Oy	Helsinki	74102 - Sisustussuunnittelu	
14.07.2025	KK Horizon OY	Rovaniemi	49320 - Taksiliikenne	
13.07.2025	Pullikanjärven suojeluyhdistys ry	Alavus		
13.07.2025	Karjalan Eräjormat ry	Joensuu		
13.07.2025	Vaghamashi Sangitaben Bhaveshbhai	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Maung Ye Myint	Iisalmi	56290 - Henkilöstö- ja laitosruokalat	
13.07.2025	Bartholomeusz Marasinghe Siyanco Aloka Bernadette	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Muhon Md Mukabbir Hosan	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Kaukosalmi Eija Kaarina	Pori	02100 - Metsänhoito	
13.07.2025	Ovi Nahid Hasan	Kuopio	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Singh Karamjit	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Sadman Kazi Maheer	Joensuu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Binti Jesmin Zaman	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Sajib Minhazul Hossain	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Saiyad Abulkaish Salimoddin	Espoo	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Ogorodnikov Vladyslav	Sysmä	70220 - Muu liikkeenjohdon konsultointi	
13.07.2025	Pälli Robert Micael Vesanpoika	Lahti	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Asehistoriallinen seura Arma Botnica ry	Haapajärvi		
13.07.2025	Jouttijärvi Joonas	Helsinki	62010 - Ohjelmistojen suunnittelu ja valmistus	
13.07.2025	Haukipuro Sarita Johanna	Haapavesi	02100 - Metsänhoito	
13.07.2025	Naiemi Oy	Vantaa	49320 - Taksiliikenne	
13.07.2025	Pikkuvuori Consulting	Uusikaupunki		
13.07.2025	Juola Jonne Emil Juhani	Oulu	47299 - Muu päivittäistavaroiden erikoisvähittäiskauppa	
13.07.2025	Fma Sam Fransman	Sipoo	41200 - Asuin- ja muiden rakennusten rakentaminen	
13.07.2025	MediReg EU Consulting	Helsinki		

Päivämäärä	Yritys	Kotipaikka	Toimiala	
13.07.2025	PogRent	Tampere	77390 - Muiden koneiden ja laitteiden vuokraus ja leasing	
13.07.2025	Shiron & son	Forssa		
13.07.2025	Arttu Tiilikainen	Siuntio		
13.07.2025	Super2 Group	Rauma	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	Emmanuel Ory	Helsinki		
13.07.2025	Ulles allehanda	Lumparland		
13.07.2025	Tmi Anne Savolaisen Palvelut	Joensuu		
13.07.2025	Armi Lampela	Espoo	90010 - Esittävät taiteet	
13.07.2025	Tmi Juri Karpov	Hamina		
13.07.2025	Riviniana Oy	Ylöjärvi	73111 - Mainostoimistot	
13.07.2025	Evetri Palvelut Oy	Vantaa	81210 - Kiinteistöjen siivous	
13.07.2025	C.H.M Henkilöstöpalvelu Oy	Helsinki	78200 - Työvoiman vuokraus	
13.07.2025	Rakennusvalvonta ja mittausdiagnostiikka Kyllönen oy	Kuhmo	71126 - Muu rakennustekninen palvelu	
13.07.2025	Mato Invest Oy	Helsinki	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
13.07.2025	Minervan maailma Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
13.07.2025	Saunalautta Höyry Oy	Lahti	93299 - Muualla luokittelematon huvi- ja virkistystoiminta	
13.07.2025	Value Prop Oy	Espoo	70220 - Muu liikkeenjohdon konsultointi	
13.07.2025	Dilman Service Taksi Oy	Helsinki	49320 - Taksiliikenne	
13.07.2025	Backström Tony Markus	Helsinki	41200 - Asuin- ja muiden rakennusten rakentaminen	
13.07.2025	Autohuolto Mikkola Oy	Pori	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	
13.07.2025	Hungry Cat Investment Oy	Helsinki	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
13.07.2025	Penger Oy	Toivakka	43999 - Muu muualla luokittelematon erikoistunut rakennustoiminta	
13.07.2025	AGM Parturi	Helsinki	96021 - Parturit ja kampaamot	
13.07.2025	Rajendran Thangaiya Kirsanth	Valkeakoski	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
13.07.2025	SideWise Oy	Seinäjoki	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
13.07.2025	LS-ASENNUS Oy	Turku	30110 - Laivojen ja kelluvien rakenteiden rakentaminen	
13.07.2025	Ruukityö oy	Tampere	41200 - Asuin- ja muiden rakennusten rakentaminen	
13.07.2025	MSAJ Oy	Oulu	66220 - Vakuutusasiamiesten ja -välittäjien toiminta	
13.07.2025	Lagus Recycling Oy Ab	Loviisa	38320 - Lajiteltujen materiaalien kierrätys	
13.07.2025	DRMServices	Helsinki		
13.07.2025	Aurelia Kiinteistöt Oy	Vaasa	68201 - Asuntojen vuokraus	
13.07.2025	Señor Clean	Vantaa		
13.07.2025	P. Hölsä Oy	Lappeenranta	66220 - Vakuutusasiamiesten ja -välittäjien toiminta	
13.07.2025	Chenxiliao Oy	Sipoo	56103 - Ruokakioskit	
13.07.2025	Juvonen Management Solutions Oy	Espoo	70220 - Muu liikkeenjohdon konsultointi	
13.07.2025	Hammaslääkäri Janne Heikkinen Tmi	Kajaani	86230 - Hammaslääkäripalvelut	
13.07.2025	Sundaramoorthy Viola Maria	Oulu	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
13.07.2025	Tasi Group Oy	Raisio	46360 - Sokerin, suklaan, makeisten ja leipomotuotteiden tukkukauppa	
13.07.2025	Lääkäripalvelut Huotilainen Oy	Helsinki	86210 - Terveyskeskus- ja vastaavat yleislääkäripalvelut	
13.07.2025	Nouvel Pharm Oy	Helsinki	86909 - Muu terveyspalvelu	
13.07.2025	OppiTaika ry	Raasepori		
13.07.2025	Urakka-Seppä	Tuusula	41200 - Asuin- ja muiden rakennusten rakentaminen	
12.07.2025	TMPT ry	Pirkkala		
12.07.2025	Tampereen Turtlesit ry	Tampere		
12.07.2025	Momtaj Sabrina	Pietarsaari	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Boström Johanna Marika	Pedersören kunta	02100 - Metsänhoito	
12.07.2025	Gajasinghe Maramba Liyanage Sanjaya Gajasinghe	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Boustani Mahsa	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Rahikainen Jari Tapani	Lahti	02100 - Metsänhoito	
12.07.2025	Shuvo Shafiqul Islam	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Manira Sirazum	Turku	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Kalpe Herath Bandarage Thiranga Nilushan	Forssa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Randiwela Galadeniye Gedara Medika Madhubhanuka Randiwela	Forssa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Saltanate Rezwana Al	Joensuu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Saastamoinen Peetu Sakari Pekanpoika	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
12.07.2025	Rinta-Homi Tommi Kristian	Tampere	02100 - Metsänhoito	
12.07.2025	VendClean	Helsinki	81220 - Muu rakennus- ja teollisuussiivous	
12.07.2025	Math Angel Entertainment	Turku	90010 - Esittävät taiteet	
12.07.2025	Katja Creative Oy	Espoo	59110 - Elokuvien, videoiden ja televisio-ohjelmien tuotanto	
12.07.2025	Riipus Design Tmi	Kannus	47789 - Muiden uusien tavaroiden vähittäiskauppa	
12.07.2025	Tammelan Löytö Oy	Tampere	47719 - Vaatteiden yleisvähittäiskauppa	
12.07.2025	Suomen hyllynkorjaustekniikka Oy	Helsinki	33190 - Muiden laitteiden korjaus ja huolto	
12.07.2025	TV Immonen Tmi	Kuopio	71126 - Muu rakennustekninen palvelu	
12.07.2025	Hokka Syndicate Oy	Helsinki	59200 - Äänitysstudiot; äänitteiden ja musiikin kustantaminen	
12.07.2025	Tasopro Oy	Ranua	41200 - Asuin- ja muiden rakennusten rakentaminen	
12.07.2025	MJ Records Oy	Oulu	47630 - Musiikki- ja videotallenteiden vähittäiskauppa	
12.07.2025	Ristolainen Virpi Hannele	Kontiolahti	81210 - Kiinteistöjen siivous	
12.07.2025	Ceal Entertainment	Kerava	62010 - Ohjelmistojen suunnittelu ja valmistus	
12.07.2025	Greener Growth Oy	Pori	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
12.07.2025	LVI-Palvelu Katila Oy	Järvenpää	43220 - Lämpö-, vesijohto- ja ilmastointiasennus	
12.07.2025	vuorivoima	Orimattila	86909 - Muu terveyspalvelu	
12.07.2025	FinnViro Oy	Lahti	41100 - Rakennuttaminen ja rakennushankkeiden kehittäminen	
12.07.2025	BearWhale Oy	Pirkkala	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
12.07.2025	Laura Hirsikangas Oy	Tampere	86909 - Muu terveyspalvelu	
12.07.2025	Helin makoisat herkut	Karkkila	10710 - Leivän valmistus; tuoreiden leivonnaisten ja kakkujen valmistus	
12.07.2025	Aja ja Toimita Tmi	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
12.07.2025	Merihattara Oy	Espoo	64990 - Muualla luokittelemattomat rahoituspalvelut (pl. vakuutus- ja eläkevakuutustoiminta)	
12.07.2025	SoundFlow	Lappeenranta	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
12.07.2025	Hoxai Oy	Espoo	62010 - Ohjelmistojen suunnittelu ja valmistus	
12.07.2025	As Oy Lempäälän Saikan Tähti	Lempäälä	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
12.07.2025	RAKSHIT Oy	Lappeenranta	70220 - Muu liikkeenjohdon konsultointi	
12.07.2025	Haukka Bidco Oy	Helsinki	64200 - Rahoitusalan holdingyhtiöiden toiminta	
12.07.2025	Nordic Leadership Partners Oy	Espoo	70220 - Muu liikkeenjohdon konsultointi	
12.07.2025	Haukka Topco Oy	Helsinki	64200 - Rahoitusalan holdingyhtiöiden toiminta	
11.07.2025	Lähde Tuomas Eino Tapani	Turku	02100 - Metsänhoito	
11.07.2025	Taiwo Fehintoluwa Hannah	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Ylitolva Sanni Sofia	Helsinki	52299 - Muu kuljetusvälitys	
11.07.2025	Rahman Khan Mohammad Ziaur	Helsinki	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Baidya Anal	Kuopio	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Thapa Magar Manu	Hämeenlinna	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Sydänlammi Miiko Ilkka Lauri	Tampere	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	Ali Muhammad Umar	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Sudu Dewage Kushan Dhananjaya Samarasinghe	Lempäälä	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Mahlamäki Heikki Antero konkurssipesä	Kerava	02100 - Metsänhoito	
11.07.2025	Arabelle Services UK Ltd		27110 - Sähkömoottorien, generaattorien ja muuntajien valmistus	
11.07.2025	Arabelle Operations Switzerland GmbH		27110 - Sähkömoottorien, generaattorien ja muuntajien valmistus	
11.07.2025	MSL Cabling Limited, sivuliike Suomessa	Helsinki		
11.07.2025	Istiak Fahim	Oulu	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Abeyrathna Hewa Palanda Kasun Eranga	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Kashyap Rahul	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	


Päivämäärä	Yritys	Kotipaikka	Toimiala	
11.07.2025	Japu Omaisuudenhallinta Oy	Lappeenranta		
11.07.2025	FW Service Oy	Kokkola		
11.07.2025	Rakenne Jari Pulkkinen Oy	Lappeenranta		
11.07.2025	Niittymäki Janina Maria Pauliina	Kotka	02100 - Metsänhoito	
11.07.2025	Ollula Heikki Veijo	Turku	02100 - Metsänhoito	
11.07.2025	Karppanen Markku Tapani	Espoo	02100 - Metsänhoito	
11.07.2025	Alaluusua Tuomas Sakari	Kemijärvi	02100 - Metsänhoito	
11.07.2025	Kiinteistö Oy Juvan Teollisuuskatu 15 Espoo	Espoo		
11.07.2025	Kiinteistö Oy Teerivuorenkatu 28	Tampere		
11.07.2025	Kiinteistö Oy Tampereen Etu-Hankkionkatu 18	Tampere		
11.07.2025	Kiinteistö Oy Koskelontie 17	Espoo		
11.07.2025	Kiinteistö Oy Vantaanpuistontie 31	Vantaa		
11.07.2025	Kiinteistö Oy Mansen Kuoppamäentie 11	Tampere		
11.07.2025	Kiinteistö Oy Keravan Ahjonkaarre 1	Kerava		
11.07.2025	Kiinteistö Oy Helsingin Mekaanikonkatu 5	Helsinki		
11.07.2025	Kiinteistö Oy Tuusulan Hiekkakuopantie 3	Tuusula		
11.07.2025	Kiinteistö Oy Vantaan Tiilenpolttajankuja 4	Helsinki		
11.07.2025	Kiinteistö Oy Espoon Kiilaniityntie 10	Espoo		
11.07.2025	Kiinteistö Oy Espoon Juvankartanontie 15	Espoo		
11.07.2025	Kiinteistö Oy Tuusulan Hiekkakuopantie 4	Tuusula		
11.07.2025	Kiinteistö Oy Tampereen Mäntyhaantie 8	Tampere		
11.07.2025	Kiinteistö Oy Espoon Mikkelänkallio 5	Espoo		
11.07.2025	Kiinteistö Oy Tuusulan Louhostie 2	Espoo		
11.07.2025	Kiinteistö Oy Martinkruunu	Espoo		
11.07.2025	Kiinteistö Oy Sirrikuja 2	Helsinki		
11.07.2025	Kiinteistö Oy Koskelonportti	Espoo		
11.07.2025	Kiinteistö Oy Tampereen Teerivuorenkatu 5	Tampere		
11.07.2025	Sarkio Matti Ilmari	Laukaa	02100 - Metsänhoito	
11.07.2025	Paulus Marja Taina Sinikka	Kuopio	02100 - Metsänhoito	
11.07.2025	Kuittinen Rauni Helena	Nurmes	01500 - Yhdistetty kasvinviljely ja kotieläintalous (sekatilat)	
11.07.2025	Tarkiainen Ritva Helena	Pieksämäki	02100 - Metsänhoito	
11.07.2025	Q Yachts Oy konkurssipesä	Helsinki	30120 - Huvi- ja urheiluveneiden rakentaminen	
11.07.2025	BM Raudoitekonsultit Oy konkurssipesä	Järvenpää	43999 - Muu muualla luokittelematon erikoistunut rakennustoiminta	
11.07.2025	Kuusiniemi Aki Tapani	Ulvila	02100 - Metsänhoito	
11.07.2025	Aberdeen Digital		63110 - Tietojenkäsittely, palvelintilan vuokraus ja niihin liittyvät palvelut	
11.07.2025	System of Strategy, LLC		47529 - Muu rauta- ja rakennusalan vähittäiskauppa	
11.07.2025	Rite SPV 2025-1 AB		64300 - Rahastotoiminta	
11.07.2025	Rite Equity Holding AB		64200 - Rahoitusalan holdingyhtiöiden toiminta	
11.07.2025	TAKU BOUTIQUE PROFESSIONAL PET PRODUCTS & SERVICES SRL		47764 - Lemmikkieläinten, niiden ruokien ja tarvikkeiden vähittäiskauppa	
11.07.2025	Rakennus-Ruori Oy	Lahti	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
11.07.2025	CazArt Oy	Turku	90030 - Taiteellinen luominen	
11.07.2025	Tmi J.Leppäniemi	Kauhajoki		
11.07.2025	Beyond Borders Innovations	Vantaa		
11.07.2025	Stickin Oy	Kuopio	32999 - Muu muualla luokittelemattomien tuotteiden valmistus	
11.07.2025	Nodal Defense Design	Kaarina	13990 - Muualla luokittelematon tekstiilituotteiden valmistus	
11.07.2025	Stenu Guitars	Oulu	90010 - Esittävät taiteet	
11.07.2025	Mornor Oy	Riihimäki	25110 - Metallirakenteiden ja niiden osien valmistus	
11.07.2025	Nystad Natur Oy	Uusikaupunki	20410 - Saippuan, pesu-, puhdistus- ja kiillotusaineiden valmistus	
11.07.2025	Rapu Holding Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	Apex-Line Oy	Savukoski	49392 - Linja-autojen tilausliikenne	
11.07.2025	Shimizugawa Oy	Tampere	56101 - Ravintolat	
11.07.2025	Tech-Paja	Joensuu	95110 - Tietokoneiden ja niiden oheislaitteiden korjaus	
11.07.2025	Sähkö Jari M	Jyväskylä	43210 - Sähköasennus	
11.07.2025	Kuivat Rusinat Oy	Turku	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	Restamigia Oy	Oulu	90030 - Taiteellinen luominen	
11.07.2025	TaitoPoint	Vaasa		
11.07.2025	HS Avustajat Oy	Helsinki	86909 - Muu terveyspalvelu	
11.07.2025	TriniBell OY	Valkeakoski	96022 - Kauneudenhoitopalvelut	
11.07.2025	Yhteyden Idea Oy	Vantaa	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	AvaraMieli Oy	Orimattila	86909 - Muu terveyspalvelu	
11.07.2025	Kazi fin	Vantaa	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Omapalsta Oy	Oulu	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
11.07.2025	Jayasinghe Mudiyanselage Dilsha Thathsaranie Jayasinghe	Lappeenranta	82990 - Muut palvelut liike-elämälle	
11.07.2025	CharlottaCares	Helsinki	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
11.07.2025	Katalyytti Oy	Helsinki	73112 - Suora- ja ulkomainonta	
11.07.2025	Joshkun Ravintolat Oy	Tampere	56101 - Ravintolat	
11.07.2025	HaraKiri Oy	Siilinjärvi	01499 - Muu eläinten hoito	
11.07.2025	Riinan Rentoutus	Joensuu	86909 - Muu terveyspalvelu	
11.07.2025	Jessica Salminen Tattoos	Seinäjoki	96090 - Muualla luokittelemattomat henkilökohtaiset palvelut	
11.07.2025	Northern Lights Rent Oy	Mikkeli	77110 - Autojen ja kevyiden moottoriajoneuvojen vuokraus ja leasing	
11.07.2025	Häntälän-Märyn Yksityistie	Salo	68320 - Kiinteistöjen isännöinti	
11.07.2025	Metsän Suojelusäätiö sr	Helsinki	94999 - Muualla luokittelemattomat muut järjestöt	
11.07.2025	Agibikes Oy	Vantaa	93190 - Muu urheilutoiminta	
11.07.2025	MEREM Maritime Consulting Oy	Kaarina	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	Kiinteistö Oy Vantaan Ravintie 2	Vantaa		
11.07.2025	Lautta Solutions Oy	Espoo	62010 - Ohjelmistojen suunnittelu ja valmistus	
11.07.2025	TAMNORD	Tampere	47722 - Laukkujen vähittäiskauppa	
11.07.2025	Purohit Ajayraj Jogram		53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Riveon AG		62010 - Ohjelmistojen suunnittelu ja valmistus	
11.07.2025	Ukin Voimapyörä Oy	Uusikaupunki	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
11.07.2025	Tenala HOBK rf	Raasepori		
11.07.2025	Hosting Finland	Mustasaari	63110 - Tietojenkäsittely, palvelintilan vuokraus ja niihin liittyvät palvelut	
11.07.2025	Mia Palvelut Oy	Helsinki	49410 - Tieliikenteen tavarankuljetus	
11.07.2025	Plott Studio	Raasepori	59110 - Elokuvien, videoiden ja televisio-ohjelmien tuotanto	
11.07.2025	Eräkulkuri Oy	Rautavaara	62010 - Ohjelmistojen suunnittelu ja valmistus	
11.07.2025	Koivuhaan Toimitilat Doro Oy	Vantaa	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
11.07.2025	PH-Pienkone Oy	Asikkala	33121 - Yleiskäyttöön tarkoitettujen koneiden korjaus ja huolto	
11.07.2025	Kortteliklassikot Oy	Tampere	56301 - Olut- ja drinkkibaarit	
11.07.2025	Nordic Boost Oy	Tornio	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	Solanki Keyur Kishor	Tampere	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Tmi Johanna Hirvonen	Ypäjä	56210 - Pitopalvelu	
11.07.2025	Sisuhiisi	Urjala	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	Secret Siida Oy	Rovaniemi	79900 - Varauspalvelut, matkaoppaiden palvelut ym.	
11.07.2025	Turunen Matias Emil Artturi	Sauvo	70210 - Suhdetoiminta ja viestintä	
11.07.2025	Manifestum Oy	Raahe	46189 - Muualla luokittelematon erikoistunut agentuuritoiminta	
11.07.2025	Qvickström Group Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	As Oy Kempeleen Linnavallintie 5	Kempele	68202 - Asuntojen ja asuinkiinteistöjen hallinta	
11.07.2025	Finn Trade Experts avoin yhtiö	Jyväskylä	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
11.07.2025	Windside WW Holding Oy Ltd	Viitasaari	70100 - Pääkonttorien toiminta	
11.07.2025	V232V Auto Moto Korjaamo Oy	Vantaa	45201 - Moottoriajoneuvojen huolto ja korjaus (pl. renkaat)	

Päivämäärä	Yritys	Kotipaikka	Toimiala	
11.07.2025	NANA Prime Oy	Vantaa	63120 - Verkkoportaalit	
11.07.2025	Physiopassion Oy	Lahti	86901 - Fysioterapia	
11.07.2025	Lehtonen Matti Antero	Kaarina	53200 - Muu posti-, jakelu- ja kuriiritoiminta	
11.07.2025	Axia Evolvia Oy	Helsinki	70220 - Muu liikkeenjohdon konsultointi	
11.07.2025	KKOY Levi North Suites 3	Kittilä	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
11.07.2025	KKOY Levi North Suites 2	Kittilä	68209 - Muiden kiinteistöjen vuokraus ja hallinta	
11.07.2025	Rantala lab Oy	Vantaa	43220 - Lämpö-, vesijohto- ja ilmastointiasennus	
11.07.2025	FINOMEGA Oy	Oulu	74909 - Muu ammatillinen, tieteellinen ja tekninen toiminta	
11.07.2025	Norély Oy	Turku	47919 - Muu postimyynti ja verkkokauppa	
11.07.2025	Koneurakointi Rusten Oy	Vantaa	43120 - Rakennuspaikan valmistelutyöt	
11.07.2025	IM Rakentajat Oy	Nousiainen	41200 - Asuin- ja muiden rakennusten rakentaminen	
11.07.2025	MaraCode Oy	Lappeenranta	62010 - Ohjelmistojen suunnittelu ja valmistus	
11.07.2025	Amiko Pet Oy	Helsinki	75000 - Eläinlääkintäpalvelut	
11.07.2025	Snui Industries Oy	Helsinki	73111 - Mainostoimistot	
11.07.2025	Zandian Shayan	Espoo	49410 - Tieliikenteen tavarankuljetus	
11.07.2025	Helsingin Mehuasema Oy	Helsinki	10320 - Hedelmä-, marja- ja kasvismehujen valmistus	
11.07.2025	Luona Creations	Rauma	56101 - Ravintolat	
10.07.2025	Noljakan Dirtti ry	Joensuu		
10.07.2025	Sergey Semenov AB		61200 - Langattoman verkon hallinta ja palvelut	
10.07.2025	Sagari OÜ		46901 - Yleistukkukauppa	
10.07.2025	ETTEX GMBH		62010 - Ohjelmistojen suunnittelu ja valmistus	
